ano,cod_regiao,nome_regiao,cod_uf,nome_uf,cod_meso,nome_meso,cod_micro,nome_micro,cod_mun,cod_mundv,nome_mun
2015,2,Nordeste,25,Paraíba,2501,Sertão Paraibano,25007,Serra do Teixeira,250010,2500106,Água Branca
2015,2,Nordeste,25,Paraíba,2501,Sertão Paraibano,25005,Piancó,250020,2500205,Aguiar
2015,2,Nordeste,25,Paraíba,2503,Agreste Paraibano,25015,Brejo Paraibano,250030,2500304,Alagoa Grande
2015,2,Nordeste,25,Paraíba,2503,Agreste Paraibano,25015,Brejo Paraibano,250040,2500403,Alagoa Nova
2015,2,Nordeste,25,Paraíba,2503,Agreste Paraibano,25016,Guarabira,250050,2500502,Alagoinha
2015,2,Nordeste,25,Paraíba,2502,Borborema,25011,Cariri Oriental,250053,2500536,Alcantil
2015,2,Nordeste,25,Paraíba,2503,Agreste Paraibano,25012,Curimataú Ocidental,250057,2500577,Algodão de Jandaíra
2015,2,Nordeste,25,Paraíba,2504,Mata Paraibana,25023,Litoral Sul,250060,2500601,Alhandra
2015,2,Nordeste,25,Paraíba,2502,Borborema,25010,Cariri Ocidental,250073,2500734,Amparo
2015,2,Nordeste,25,Paraíba,2501,Sertão Paraibano,25003,Sousa,250077,2500775,Aparecida
2015,2,Nordeste,25,Paraíba,2503,Agreste Paraibano,25016,Guarabira,250080,2500809,Araçagi
2015,2,Nordeste,25,Paraíba,2503,Agreste Paraibano,25012,Curimataú Ocidental,250090,2500908,Arara
2015,2,Nordeste,25,Paraíba,2503,Agreste Paraibano,25013,Curimataú Oriental,250100,2501005,Araruna
2015,2,Nordeste,25,Paraíba,2503,Agreste Paraibano,25015,Brejo Paraibano,250110,2501104,Areia
2015,2,Nordeste,25,Paraíba,2501,Sertão Paraibano,25004,Patos,250115,2501153,Areia de Baraúnas
2015,2,Nordeste,25,Paraíba,2503,Agreste Paraibano,25014,Esperança,250120,2501203,Areial
2015,2,Nordeste,25,Paraíba,2503,Agreste Paraibano,25019,Umbuzeiro,250130,2501302,Aroeiras
2015,2,Nordeste,25,Paraíba,2502,Borborema,25010,Cariri Ocidental,250135,2501351,Assunção
2015,2,Nordeste,25,Paraíba,2504,Mata Paraibana,25020,Litoral Norte,250140,2501401,Baía da Traição
2015,2,Nordeste,25,Paraíba,2503,Agreste Paraibano,25015,Brejo Paraibano,250150,2501500,Bananeiras
2015,2,Nordeste,25,Paraíba,2502,Borborema,25009,Seridó Oriental Paraibano,250153,2501534,Baraúna
2015,2,Nordeste,25,Paraíba,2503,Agreste Paraibano,25012,Curimataú Ocidental,250160,2501609,Barra de Santa Rosa
2015,2,Nordeste,25,Paraíba,2502,Borborema,25011,Cariri Oriental,250157,2501575,Barra de Santana
2015,2,Nordeste,25,Paraíba,2502,Borborema,25011,Cariri Oriental,250170,2501708,Barra de São Miguel
2015,2,Nordeste,25,Paraíba,2504,Mata Paraibana,25022,João Pessoa,250180,2501807,Bayeux
2015,2,Nordeste,25,Paraíba,2503,Agreste Paraibano,25016,Guarabira,250190,2501906,Belém
2015,2,Nordeste,25,Paraíba,2501,Sertão Paraibano,25001,Catolé do Rocha,250200,2502003,Belém do Brejo do Cruz
2015,2,Nordeste,25,Paraíba,2501,Sertão Paraibano,25002,Cajazeiras,250205,2502052,Bernardino Batista
2015,2,Nordeste,25,Paraíba,2501,Sertão Paraibano,25006,Itaporanga,250210,2502102,Boa Ventura
2015,2,Nordeste,25,Paraíba,2503,Agreste Paraibano,25017,Campina Grande,250215,2502151,Boa Vista
2015,2,Nordeste,25,Paraíba,2501,Sertão Paraibano,25002,Cajazeiras,250220,2502201,Bom Jesus
2015,2,Nordeste,25,Paraíba,2501,Sertão Paraibano,25001,Catolé do Rocha,250230,2502300,Bom Sucesso
2015,2,Nordeste,25,Paraíba,2501,Sertão Paraibano,25002,Cajazeiras,250240,2502409,Bonito de Santa Fé
2015,2,Nordeste,25,Paraíba,2502,Borborema,25011,Cariri Oriental,250250,2502508,Boqueirão
2015,2,Nordeste,25,Paraíba,2503,Agreste Paraibano,25015,Brejo Paraibano,250270,2502706,Borborema
2015,2,Nordeste,25,Paraíba,2501,Sertão Paraibano,25001,Catolé do Rocha,250280,2502805,Brejo do Cruz
2015,2,Nordeste,25,Paraíba,2501,Sertão Paraibano,25001,Catolé do Rocha,250290,2502904,Brejo dos Santos
2015,2,Nordeste,25,Paraíba,2504,Mata Paraibana,25023,Litoral Sul,250300,2503001,Caaporã
2015,2,Nordeste,25,Paraíba,2502,Borborema,25011,Cariri Oriental,250310,2503100,Cabaceiras
2015,2,Nordeste,25,Paraíba,2504,Mata Paraibana,25022,João Pessoa,250320,2503209,Cabedelo
2015,2,Nordeste,25,Paraíba,2501,Sertão Paraibano,25002,Cajazeiras,250330,2503308,Cachoeira dos Índios
2015,2,Nordeste,25,Paraíba,2501,Sertão Paraibano,25004,Patos,250340,2503407,Cacimba de Areia
2015,2,Nordeste,25,Paraíba,2503,Agreste Paraibano,25013,Curimataú Oriental,250350,2503506,Cacimba de Dentro
2015,2,Nordeste,25,Paraíba,2501,Sertão Paraibano,25007,Serra do Teixeira,250355,2503555,Cacimbas
2015,2,Nordeste,25,Paraíba,2503,Agreste Paraibano,25016,Guarabira,250360,2503605,Caiçara
2015,2,Nordeste,25,Paraíba,2501,Sertão Paraibano,25002,Cajazeiras,250370,2503704,Cajazeiras
2015,2,Nordeste,25,Paraíba,2501,Sertão Paraibano,25003,Sousa,250375,2503753,Cajazeirinhas
2015,2,Nordeste,25,Paraíba,2503,Agreste Paraibano,25018,Itabaiana,250380,2503803,Caldas Brandão
2015,2,Nordeste,25,Paraíba,2502,Borborema,25010,Cariri Ocidental,250390,2503902,Camalaú
2015,2,Nordeste,25,Paraíba,2503,Agreste Paraibano,25017,Campina Grande,250400,2504009,Campina Grande
2015,2,Nordeste,25,Paraíba,2504,Mata Paraibana,25020,Litoral Norte,250403,2504033,Capim
2015,2,Nordeste,25,Paraíba,2502,Borborema,25011,Cariri Oriental,250407,2504074,Caraúbas
2015,2,Nordeste,25,Paraíba,2501,Sertão Paraibano,25002,Cajazeiras,250410,2504108,Carrapateira
2015,2,Nordeste,25,Paraíba,2503,Agreste Paraibano,25013,Curimataú Oriental,250415,2504157,Casserengue
2015,2,Nordeste,25,Paraíba,2501,Sertão Paraibano,25005,Piancó,250420,2504207,Catingueira
2015,2,Nordeste,25,Paraíba,2501,Sertão Paraibano,25001,Catolé do Rocha,250430,2504306,Catolé do Rocha
2015,2,Nordeste,25,Paraíba,2502,Borborema,25011,Cariri Oriental,250435,2504355,Caturité
2015,2,Nordeste,25,Paraíba,2501,Sertão Paraibano,25006,Itaporanga,250440,2504405,Conceição
2015,2,Nordeste,25,Paraíba,2501,Sertão Paraibano,25003,Sousa,250450,2504504,Condado
2015,2,Nordeste,25,Paraíba,2504,Mata Paraibana,25022,João Pessoa,250460,2504603,Conde
2015,2,Nordeste,25,Paraíba,2502,Borborema,25010,Cariri Ocidental,250470,2504702,Congo
2015,2,Nordeste,25,Paraíba,2501,Sertão Paraibano,25005,Piancó,250480,2504801,Coremas
2015,2,Nordeste,25,Paraíba,2502,Borborema,25010,Cariri Ocidental,250485,2504850,Coxixola
2015,2,Nordeste,25,Paraíba,2504,Mata Paraibana,25021,Sapé,250490,2504900,Cruz do Espírito Santo
2015,2,Nordeste,25,Paraíba,2502,Borborema,25009,Seridó Oriental Paraibano,250500,2505006,Cubati
